;Tool;OS;Matrix;Relative error;Elapsed time;Mem;Min mem;Max mem;Avg mem;Delta mem
0;linux;matlab;cfd1.mat;1.190984e-13;3.1653889999999998;30.01;0.0;1011.226562;486.22487084645667;1011.226562
1;linux;matlab;cfd2.mat;3.535160e-13;6.7001910000000002;50.85;0.703125;1421.7617189999999;648.134338154882;1421.0585939999999
2;linux;matlab;ex15.mat;6.862023e-07;0.2333510000000000;1.72;0.765625;585.5351559999999;403.1457346818183;584.7695309999999
3;linux;matlab;shallow_water1.mat;2.376799e-16;0.8635790000000000;7.50;0.0;634.3828120000001;410.9583150469484;634.3828120000001
4;linux;octave;cfd1.mat;1.83349e-14;15.1243519783020020;30.01;1.003906;345.91015600000003;235.99534064257026;344.90625000000006
5;linux;octave;cfd2.mat;3.5282e-13;36.2812509536743164;50.85;0.425781;578.5703120000001;415.7400105295138;578.144531
6;linux;octave;ex15.mat;6.37304e-07;0.0880558490753174;1.72;0.964844;86.738281;64.3527344;85.773437
7;linux;octave;shallow_water1.mat;2.41914e-16;2.5233259201049805;7.50;1.0078120000000002;136.085938;110.54328769387753;135.078126
8;linux;python;cfd1.mat;1.8334919784499647e-14;14.163880348205566;22.27;1.300781;284.046875;179.6503071196581;282.746094
9;linux;python;cfd2.mat;3.5281971859737356e-13;36.53775405883789;37.69;1.300781;489.578125;319.2082368448276;488.277344
10;linux;python;ex15.mat;6.373039892025257e-07;0.09466552734375;1.29;1.308594;49.164062;28.70008677777778;47.855468
11;linux;python;shallow_water1.mat;2.4191432592763325e-16;2.192201852798462;5.34;1.3671879999999998;92.25;70.4307105952381;90.882812
